Id,Front,Item A,Item B,Legs,Pilot,Rarity,Rarity (percent),Serial Number,Theme,Top,Price
1,SB Skyhammer,SB Buster,No Item,SB Spyder,Hopper,Prototype,0.0012,CLB.0S.0H.04.0K.0K.04.0B.0L.0D,Carrot,SHAKKASkyhammer,2.5358
2,Droid Ravager,Droid Ravager,Droid Spyder,Droid Ravager,Savage Droid,Prototype,0.0012,CLB.0S.04.0v.04.0g.03.0D.0R.0D,Monochrome,Droid Ravager,5
3,B.R.1.C.K,B.R.1.C.K,B.R.1.C.K,B.R.1.C.K,Jimbob,Prototype,0.0012,CLB.0B.0R.01.0C.0K.0M.03.0C.0H,AB Plastic,B.R.1.C.K,2.1
4,HBB Renegade,HBB Renegade,HBB Skyhammer,HBB Skyhammer,Habibi,Prototype,0.0012,CLB.0M.0R.0K.0H.04.08.01.08.01,Blue Raspberry,HBB Renegade,4.89
5,838 Spyder,838 Renegade,838 Renegade,838 Spyder,3ZRA,Prototype,0.0012,CLB.03.0z.0R.0A.00.0J.08.03.08,Soul,838 Phantom,3.3075
6,R.E.X. 02,R.E.X. 02,R.E.X. 02,R.E.X. 02,Rex,Prototype,0.0012,CLB.0M.03.0C.0H.0A.0D.0i.0N.00,Primal,R.E.X. 02,2.6802
7,MegaBoidz,MegaBoidz,MegaBoidz,MegaBoidz,BOiDs X 6,Prototype,0.0012,CLB.07.00.00.07.0y.0b.00.01.0d,Unity,MegaBoidz,5.25
8,||||||||||||||||,||||||||||||||||,||||||||||||||||,||||||||||||||||,||||||||||||||||,Prototype,0.0012,||||||||||||||||,||||||||||||||||,||||||||||||||||,3.6
9,B.O.X.,Rod,Laser,B.O.X.,Cool Cat,Prototype,0.0012,CLB.00.0C.00.00.0L.0C.04.0T.05,Cool Blue,B.O.X.,3
10,Grumpii,Grumpii,Grumpii,Grumpii,Carno,Prototype,0.0012,CLB.0G.0R.0M.0P.01.0S.0A.0U.0R,GRM-P,Grumpii,6.1901
11,WAT 51,WAT 51,WAT 51,WAT 51,Mothman,Prototype,0.0012,CLB.0W.03.0A.0R.03.0T.0H.03.51,Toon,WAT 51,2.7
12,T.I.G.E.R. Zero,T.I.G.E.R. Zero,T.I.G.E.R. Zero,T.I.G.E.R. Zero,TIGERBOB,Prototype,0.0012,CLB.07.01.0G.03.0R.08.00.08.01,Stripes,T.I.G.E.R. Zero,2.52
13,Ravager,No Item,Buster,Peacekeeper,Clover,C,0.2973,249108479388606320,Ghost,Ironclaw,0.1
14,Peacekeeper,Ironclaw,No Item,Breaker,Mako Shark,D,0.4924,286044969709775400,Snes,Skyhammer,0.14
15,Infiltrator,Buster,No Item,Ravager,Bear,D,0.4924,140057732142442142,Orng,Peacekeeper,0.12
16,Spyder,No Item,No Item,Breaker,Grey Wolf,D,0.4924,216646064200110036,Ghost,Breaker,0.185
17,Breaker,Skyhammer,No Item,Renegade,Ape,B,0.0992,100016105615339069,Red,Breaker,0.179
18,Breaker,Infiltrator,No Item,Ironclaw,Dobermann,C,0.2973,181851882614002156,Seal,Infiltrator,
19,Renegade,No Item,Renegade,Ravager,Green Frog,D,0.4924,070914732022357066,Orng,Skyhammer,0.1375
20,Deep Fried,Infiltrator,No Item,Breaker,Dobermann,C,0.2973,784544669944331474,Orng,Skyhammer,
21,Deep Fried,Peacekeeper,Breaker,Ironclaw,Mako Shark,D,0.4924,353637089948422463,Red,Peacekeeper,
22,Deep Fried,Ravager,Spyder,Breaker,Python,D,0.4924,005127067948630694,Maverick,Peacekeeper,0.24
23,Deep Fried,Buster,Deep Fried,Ravager,Centipede,C,0.2973,841024232900002149,Grape,Skyhammer,0.195
24,Peacekeeper,Ravager,No Item,Spyder,Grey Hamster,D,0.4924,775045223752550726,Orng,Buster,0.18
25,Infiltrator,No Item,No Item,Buster,Rottweiler,D,0.4924,776060351122886583,Idol,Renegade,0.199
26,Ravager,No Item,No Item,Peacekeeper,Blaze,D,0.4924,421291970366553205,Camo,Infiltrator,0.14
27,Renegade,Skyhammer,Skyhammer,Spyder,Black Widow,S,0.0296,300071821070301402,Orng,Infiltrator,0.25
28,Deep Fried,Ironclaw,No Item,Buster,White Mouse,D,0.4924,006994450972442804,Ghost,Skyhammer,0.1303
29,Buster,Ravager,Ravager,Ravager,Shen Long,S+,0.01,925420034516729192,Ghost,Renegade,
30,Infiltrator,Breaker,Ironclaw,Skyhammer,Snake,D,0.4924,702118944163091220,Spec. Ops,Ironclaw,0.184
31,Breaker,No Item,Ravager,Renegade,Salmon,C,0.2973,125225209633600035,Dune,Buster,0.16
32,Peacekeeper,Ironclaw,Renegade,Skyhammer,Orange Spider,A,0.0593,844897944781798519,Phantom,Peacekeeper,0.12
33,Buster,Buster,No Item,Skyhammer,Bear,D,0.4924,840027843530220722,High Tide,Peacekeeper,0.1315
34,Peacekeeper,No Item,Buster,Buster,Rooster,D,0.4924,495775653755424007,Mint,Buster,
35,Deep Fried,No Item,Ravager,Infiltrator,Python,D,0.4924,350011216977929047,Mint,Infiltrator,0.1975
36,Ravager,Buster,No Item,Skyhammer,Rabbit,D,0.4924,427269647372008499,Dune,Deep Fried,0.1
37,Ironclaw,Infiltrator,No Item,Breaker,Polar Bear,B,0.0992,401489661864440607,Hero,Deep Fried,0.25
38,Peacekeeper,No Item,Deep Fried,Skyhammer,Great White,C,0.2973,061096740766504845,Red,Breaker,0.0995
39,Ironclaw,Peacekeeper,Breaker,Infiltrator,Tiger,C,0.2973,788405218808561414,High Tide,Buster,0.12
40,Spyder,No Item,Ironclaw,Ironclaw,Cave Bat,D,0.4924,700016487222185632,Seal,Breaker,0.06
41,Deep Fried,Deep Fried,No Item,Buster,Bengal Cat,C,0.2973,840043754970222803,Dune,Ravager,0.06
42,Infiltrator,Peacekeeper,Deep Fried,Buster,Yellow Frog,S,0.0296,123340954156606696,Nebula,Renegade,2.995
43,Skyhammer,Infiltrator,Infiltrator,Renegade,Kappa,S+,0.01,663699307438245600,Seal,Deep Fried,
44,Renegade,No Item,Buster,Ravager,Fruit Bat,C,0.2973,783614031088180008,Seal,Skyhammer,
45,Renegade,Buster,Spyder,Renegade,Black Moose,B,0.0992,201279401042339111,Dune,Deep Fried,
46,Ravager,Buster,No Item,Buster,Ape,B,0.0992,400060955324559004,Phantom,Renegade,0.12
47,Renegade,Infiltrator,Spyder,Buster,Bull,D,0.4924,706889553014874292,Spec. Ops,Deep Fried,
48,Breaker,Deep Fried,No Item,Peacekeeper,Mako Shark,D,0.4924,211242176670004028,Royal,Spyder,
49,Ironclaw,No Item,Buster,Renegade,Blue Macaw,A,0.0593,840047209855242405,C.A.T.,Peacekeeper,0.35
50,Ravager,No Item,Skyhammer,Peacekeeper,Flamingo,A,0.0593,325231578300454982,Orng,Infiltrator,0.25
51,Skyhammer,No Item,Skyhammer,Peacekeeper,Grey Wolf,D,0.4924,635540170411909200,Nero,Renegade,0.1185
52,Peacekeeper,Infiltrator,Deep Fried,Peacekeeper,German Shepherd,C,0.2973,064095679714202848,Seal,Buster,0.25
53,Breaker,No Item,No Item,Renegade,Cave Bat,D,0.4924,077217502644111438,High Tide,Peacekeeper,0.1195
54,Spyder,Skyhammer,No Item,Spyder,White Pupper,C,0.2973,183495229235116330,High Tide,Buster,0.106
55,Ironclaw,No Item,Deep Fried,Infiltrator,Peacock,B,0.0992,306072015811400040,Maverick,Spyder,0.15
56,Spyder,No Item,Infiltrator,Buster,Orange Spider,A,0.0593,120099850233924203,Dune,Deep Fried,
57,Buster,Infiltrator,No Item,Breaker,Great White,C,0.2973,002050066508333625,Hero,Renegade,0.22
58,Infiltrator,Buster,Skyhammer,Infiltrator,Purple Frog,C,0.2973,903687414142157690,Nero,Peacekeeper,0.5
59,Skyhammer,Ravager,No Item,Renegade,Yellow Frog,S,0.0296,215585108432662185,Puff,Buster,
60,Peacekeeper,Ravager,Buster,Breaker,Tuxedo Cat,C,0.2973,304838560768302859,Dune,Ironclaw,0.2
61,Infiltrator,Infiltrator,No Item,Infiltrator,Great White,C,0.2973,363059619190880087,Corps,Deep Fried,0.18
62,Infiltrator,Breaker,Ravager,Breaker,Corgi,D,0.4924,496028368100728474,Orng,Ironclaw,
63,Renegade,No Item,Deep Fried,Infiltrator,Bull,D,0.4924,214479116088705630,High Tide,Deep Fried,0.155
64,Ravager,No Item,Skyhammer,Breaker,Green Frog,D,0.4924,356350566377500000,Seal,Renegade,0.2
65,Skyhammer,No Item,Buster,Peacekeeper,Loxy Doge,B,0.0992,402419679488127238,Spec. Ops,Deep Fried,0.15
66,Buster,Deep Fried,No Item,Buster,Snake,D,0.4924,490053255510666333,Grape,Ravager,0.1393
